
Entering STAGE 100
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 36810.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	[PRESENCE OF A GOD] 30%
[E100  1]:	[HP: 25767.0/36810.0] [AP: 263.18] [Speed: 9.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[E100  1]:	ENRAGE	  39.00 stacks
[  Borge]:	[HP:    829.9/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:14806.91/36810.0] [AP: 263.18] [Speed: 8.15] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   7.59
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.53
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.47
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 14571.67 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  11.52
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 14351.65 left
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  40.00 stacks
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:14351.65/36810.0] [AP: 263.18] [Speed: 7.60] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 14116.42 left
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 756.98 left
[E100  1]:	TAKE	   0.86, 14161.18 left
[E100  1]:	ENRAGE	  41.00 stacks
[  Borge]:	[HP:   756.98/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:14161.18/36810.0] [AP: 263.18] [Speed: 7.55] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 14046.36 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.69
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.63
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.57
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 13977.17 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  27.62
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 756.98 left
[E100  1]:	TAKE	   0.86, 13991.52 left
[E100  1]:	ENRAGE	  42.00 stacks
[  Borge]:	[HP:   756.98/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13991.52/36810.0] [AP: 263.18] [Speed: 7.50] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.11
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 13891.91 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.02
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.95
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.89
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.83
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 13671.89 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  56.01
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  43.00 stacks
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13671.89/36810.0] [AP: 263.18] [Speed: 7.46] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	EVADE
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 756.98 left
[E100  1]:	EVADE
[E100  1]:	ENRAGE	  44.00 stacks
[  Borge]:	[HP:   756.98/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13763.15/36810.0] [AP: 263.18] [Speed: 7.41] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.17
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 13497.49 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	   7.35
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   2.81
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 13428.30 left
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  45.00 stacks
[  Borge]:	[HP:   870.57/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13443.51/36810.0] [AP: 263.18] [Speed: 7.36] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 13343.90 left
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 13123.88 left
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 783.29 left
[E100  1]:	TAKE	   0.66, 13123.22 left
[E100  1]:	ENRAGE	  46.00 stacks
[  Borge]:	[HP:   783.29/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13123.22/36810.0] [AP: 263.18] [Speed: 7.31] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   7.96
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.90
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.84
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 13038.82 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   7.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.69
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.63
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 719.50 left
[E100  1]:	TAKE	   0.86, 13083.58 left
[E100  1]:	ENRAGE	  47.00 stacks
[  Borge]:	[HP:    719.5/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:13083.58/36810.0] [AP: 263.18] [Speed: 7.27] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.47
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 12817.93 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.35
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.29
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.22
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.15
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 12748.74 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.74
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 705.80 left
[E100  1]:	TAKE	   0.86, 12763.09 left
[E100  1]:	ENRAGE	  48.00 stacks
[  Borge]:	[HP:    705.8/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:12763.09/36810.0] [AP: 263.18] [Speed: 7.22] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.58
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.51
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 12512.64 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.39
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.33
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.26
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.19
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 12292.62 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 770.61 left
[E100  1]:	TAKE	   0.66, 12291.96 left
[E100  1]:	ENRAGE	  49.00 stacks
[  Borge]:	[HP:   770.61/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:12291.96/36810.0] [AP: 263.18] [Speed: 7.17] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.06
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.00
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.94
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 12056.72 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   7.82
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.76
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.70
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 710.86 left
[E100  1]:	TAKE	   0.86, 12101.49 left
[E100  1]:	ENRAGE	  50.00 stacks
[  Borge]:	[HP:   710.86/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:12101.49/36810.0] [AP: 263.18] [Speed: 7.12] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.54
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 11835.84 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.42
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.35
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.29
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.22
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 11615.81 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.10
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 660.32 left
[E100  1]:	TAKE	   0.86, 11630.16 left
[E100  1]:	ENRAGE	  51.00 stacks
[  Borge]:	[HP:   660.32/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:11630.16/36810.0] [AP: 263.18] [Speed: 7.08] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.95
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.88
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 11530.55 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   8.78
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.71
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.64
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.57
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  52.00 stacks
[  Borge]:	[HP:   715.89/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:11591.39/36810.0] [AP: 263.18] [Speed: 7.53] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 11461.36 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   8.48
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.41
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.34
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.28
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 11392.17 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.86
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 690.80 left
[E100  1]:	TAKE	   0.86, 11406.52 left
[E100  1]:	ENRAGE	  53.00 stacks
[  Borge]:	[HP:    690.8/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:11406.52/36810.0] [AP: 263.18] [Speed: 6.98] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.70
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.63
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 11156.07 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	   7.80
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.74
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.68
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 713.02 left
[E100  1]:	TAKE	   0.86, 11200.84 left
[E100  1]:	ENRAGE	  54.00 stacks
[  Borge]:	[HP:   713.02/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:11200.84/36810.0] [AP: 263.18] [Speed: 6.94] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.53
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 10935.19 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   8.40
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.34
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.27
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.20
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 10866.00 left
[  Borge]:	STEAL	   3.04
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 650.78 left
[E100  1]:	TAKE	   0.86, 10865.13 left
[E100  1]:	ENRAGE	  55.00 stacks
[  Borge]:	[HP:   650.78/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:10865.13/36810.0] [AP: 263.18] [Speed: 6.89] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.02
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.95
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.88
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 10780.73 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   8.46
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.39
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 624.99 left
[E100  1]:	TAKE	   0.86, 10810.29 left
[E100  1]:	ENRAGE	  56.00 stacks
[  Borge]:	[HP:   624.99/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:10810.29/36810.0] [AP: 263.18] [Speed: 6.84] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   9.23
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 10544.64 left
[  Borge]:	STEAL	   6.56
[  Borge]:	REGEN	   9.10
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   9.03
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.96
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.89
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 10475.45 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[E100  1]:	ATTACK	 263.18
[  Borge]:	EVADE
[E100  1]:	ENRAGE	  57.00 stacks
[  Borge]:	[HP:   720.86/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP:10475.45/36810.0] [AP: 263.18] [Speed: 6.79] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.46
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.39
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.33
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 10391.05 left
[  Borge]:	STEAL	   3.04
[  Borge]:	[LOTH]	  41.06
[  Borge]:	REGEN	   7.91
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.84
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 718.62 left
[E100  1]:	TAKE	   0.66, 10420.80 left
[E100  1]:	ENRAGE	  58.00 stacks
[  Borge]:	[HP:   718.62/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 10420.8/36810.0] [AP: 263.18] [Speed: 6.75] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.48
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 10305.99 left
[  Borge]:	STEAL	   3.04
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	REGEN	   8.39
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.32
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.25
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.19
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 10085.96 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[E100  1]:	ATTACK	 263.18
[  Borge]:	TAKE	 113.59, 744.96 left
[E100  1]:	TAKE	   0.86, 10085.10 left
[E100  1]:	ENRAGE	  59.00 stacks
[  Borge]:	[HP:   744.96/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 10085.1/36810.0] [AP: 263.18] [Speed: 6.70] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   8.27
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.20
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   8.14
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 9849.86 left
[  Borge]:	STEAL	   6.56
[  Borge]:	[LOTH]	  88.69
[  Borge]:	REGEN	   5.74
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   0.00
[E100  1]:	REGEN	  15.21
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 783.29 left
[E100  1]:	TAKE	   0.66, 9879.62 left
[E100  1]:	ENRAGE	  60.00 stacks
[  Borge]:	[HP:   783.29/870.57] [AP: 136.87] [Speed: 4.11] [Regen:  7.26] [CHC: 0.4340] [CHD:  2.16] [DR: 0.5684] [Evasion: 0.2148] [Effect: 0.3370] [LS: 0.02]
[E100  1]:	[HP: 9879.62/36810.0] [AP: 263.18] [Speed: 6.65] [Regen: 15.21] [CHC: 0.1122] [CHD:  2.26] [DR: 0.0500] [Evasion: 0.0040]
[  Borge]:	REGEN	   7.96
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 136.87
[E100  1]:	TAKE	 130.03, 9764.80 left
[  Borge]:	STEAL	   3.04
[  Borge]:	REGEN	   7.88
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.81
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.75
[E100  1]:	REGEN	  15.21
[  Borge]:	REGEN	   7.69
[E100  1]:	REGEN	  15.21
[  Borge]:	ATTACK	 295.65 (crit)
[E100  1]:	TAKE	 280.86, 9544.78 left
[  Borge]:	STEAL	   6.56
[E100  1]:	STUNNED	   0.50 sec
[  Borge]:	[LOTH]	  38.59
[E100  1]:	ATTACK	 594.79 (crit)
[  Borge]:	TAKE	  87.28, 783.29 left
[E100  1]:	TAKE	   0.66, 9544.11 left
[E100  1]:	ENRAGE	  61.00 stacks
